Safeguard_Text,Extracted_Tag_Clean,Technique,Node_ID,Confidence,Semantic_Score,S,Cause_Text,Consequence_Text
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 33,Medium,0.427,3.0,Low ambient temperature | External fire around PV-59044 Air Receiver | Potential corrosion due to wet air | Air filter plugged,"Plant shutdown, valves should revert to their fail-safe positions; Potential financial impact/downtime | Potential freezing air dryers; Potential loss of instrument air to downstream users; Plant shutdown, valves should revert to their fail-safe positions; Potential financial impact/downtime | Potential thermal expansion and release with potential ignition and personnel impact | Potential increased corrosion in air compressor system, ultimate potential loss of containment and financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 34,Medium,0.427,3.0,"Manual valve(s) on suction to PM-13644A/B Demulsifier Metering Pumps inadvertently closed | Valve misalignment on pump switch (while C pump is operating). | PM-13644A/B Demulsifier Metering Pump trip | Manual valve(s) on discharge from PM- 126A/B Demulsifier Metering Pumps inadvertently closed | 2"" manual valve on condensate flush to EX-16773A/B or to EX-47697A/B inadvertently open | Cold Desalter temperatures | Low water level in Desalter D-81314/201",Potential loss of suction to PM-13644A/B Demulsifier Metering Pump; Potential seal failure and loss of containment to surrounding area; Potential environmental impact | Potential loss of feed return to the unit; Potential downtime (less than 5 days) and potential financial impact | Inability to send additional demulsifier to desalter pumps; Potential emulsification with potential inefficient separation in the Desalter D-81314/201; Potential inability to remove chlorides from feed; Potential quality issues; Potential financial impact | Potential inefficient chloride removal; Potential inability to remove chlorides from feed; Potential quality issues; Potential financial impact | Potential to contaminate AGO product with feed; Potential off-spec product with financial impact (contamination of the tank)
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 35,Medium,0.427,1.0,Reverse flow of condensate into the wash water system during shutdown | XV-59650 on wash water line before the desalter vessel mix valve fails closed | Low water supply temperature. | Tube leak/rupture in EX-87095A/B/C | FCV-56093/18310 fails closed or upstream/downstream manual valve(s) inadvertently closed,"Inability to send wash water to the desalter system; Potential inefficient chloride removal; Potential inability to remove chlorides from feed; Potential quality issues; Potential financial impact | Wash water flows to waste water; Reduced flow of wash water to desalters; Potential increased waste water flow to Tank 5, not expected to result in a tank overfill; Potential offspec product with potential financial impact | Reduced temperature at mixing. Potential cold Desalter temperature; Potential inefficient chloride removal; Potential inability to remove chlorides from feed; Potential quality issues; Potential financial impact | Potential contamination of wash water with condensate; Potential inefficient chloride removal; Potential inability to remove chlorides from feed; Potential quality issues; Potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 36,Medium,0.427,4.0,Blocked in liquids in EX-87095A/B/C exchangers (spare) | Operational upset or condensation causes vacuum in exchangers EX-87095A/B/C while blocked in for maintenance (hot water cooled down too quickly),"Collapse of vessel with release of water or condensate. Potential ignition, personnel impact. | Potential corrosion, potential thermal expansion with release and personnel impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 37,Medium,0.427,3.0,"FCV-18721 fails closed or upstream/downstream manual valve(s) inadvertently closed | Reverse flow into the firewater system (Mud Wash Pump PM-35808A/B/C - seal failure/check valve) | Blocked in liquids in piping upstream/downstream Mud Wash Pumps PM- 123A/B/C | Inadvertently opening 1"" manual valve on pump PM-35808A/B/C suction header to flare | Spare pump blocked in and shut off","Potential corrosion of lines. Potential release of condensate and water with potential personnel impact | Potential thermal expansion and release with potential personnel impact | Blocked discharge from pump PM-35808B/C; Potential pump damage (deadheading). Potential release of mud wash water and condensate to atmosphere and personnel exposure. | Inadvertently send mud wash water to flare; Potential long-term corrosion issues on flare piping with potential release, potential ignition and personnel impact | Reverse flow of water/condensate to the fire water system through the seal flush tubing; Potential release from fire water monitor with potential environmental/financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 38,Medium,0.427,4.0,"MOV-38117/9441 eductor closed and MOV-63896/ 31 diffuser open on tanks TK-24946- 24/25 | 8"" valve V-93682 from Y-grade spheres open | Manual valve closed downstream of rundown chiller EX-28669 to tank TK-24946-24/25 | Manual valve closed on suction of Naphtha Recirculation Pump P-6 or strainer plugs | Loss of hydrogen sulfide scavenger flow | Recirculation Pump P-6 stops | External fire on EX-28669/115 | 4"" valve (X-80058) on TK-24946-24 left closed when TK-24946-25 is taken out of service for maintenance (or vice versa) | 10"" valve closed on discharge of Recirculation Pump P6 or MOV-63896/9449 closed on inlet to TK-24946-24 or MOV-94291/9441 closed on inlet to TK-24946-25 | MOV-59888/ 9429/ 9410/ 9412 closed on outlet of tank TK-24946-24/25 to Recirculation Pump P-6 when tank is in recirculation","Increased pressure and overpressure of Rundown Chiller, potential vessel rupture and personnel impact | Potential to flow Y-grade to Heavy Naphtha Tank TK-61869- 15 or Light Naphtha Tank TK-24946-24/25, increased light naphtha true vapor pressure (TVP), potential major release from Light Naphtha Tank TK-24946-24/25, potential vapor cloud and vapor cloud explosion, personnel injury, environmental impact, asset damage | Decreased flow of hydrogen sulfide scavenger, increased hydrogen sulfide content, potential off-spec H2S, inability to send product until it is treated; Potential financial impact | Blocked in PSV relief path for other tanks connected to the naphtha header (TK-24946-24/25, TK-61869-15) with potential overpressure of tank, loss of containment, personnel impact | Potential reduced tank mixing, poor H2S scavenger efficiency; Potential need for additional scavenger to the tank to prevent increased H2S content; Potential financial impact | Loss of Light Naphtha flow to storage from chiller, potential to overpressure chiller exchanger naphtha side, potential loss of containment of naphtha with potential personnel impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 39,Medium,0.427,4.0,"4"" valve (X-39817) on TK-61869-15 left closed when TK-24946-25 is taken out of service for maintenance (or vice versa)","Blocked in PSV relief path for other tanks connected to the naphtha header (TK-24946-25, TK-61869-15) with potential overpressure of tank, loss of containment, personnel impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 4,Medium,0.427,4.0,"Cooling during Combi Tower T-56446 shutdown | 6"" manual valve on bypass around EX-17647 shell side inadvertently opened | TCV-34810A malfunctions closed or upstream/downstream manual valve(s) inadvertently closed | Bottoms Product Cooler AF-73992-1/2 fin fan motor mechanical failure/throws a blade | TCV-30806B malfunctions open or bypass inadvertently open","Potential for vacuum as Combi Tower T-73992 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact | Loss of individual AF-73992-1/2 fin fan; Potential to send higher temperature product downstream; If downstream HX-1/2 exchangers are offline, potential to send higher temperature (up to ~ 380 degF) product to the storage tanks TK-61869-13/100-14/120- 22/120-23; Max temp of tanks is 97415 degF, potential to exceed tank design temperature; Potential IFR roof damage; Potential financial impact and environmental impact | Inadvertently bypass flow around AF-73992 Bottoms Product Cooler; Potential to send higher temperature product downstream; If downstream HX-1/2 exchangers are offline, potential to send higher temperature (up to ~ 380 degF) product to the storage tanks TK-61869-13/100-14/120-22/120-23; Max temp of tanks is 97415 degF, potential to exceed tank design temperature; Potential IFR roof damage; Potential financial impact and environmental impact | Potential reduced ability to heat the feed in EX-17647; Potential for low feed temperature into Naphtha Stabilizer Column T-81314; Potential reduced rates; Potential financial impact | No longer heating up the wash water for the Desalter using EX-16773A/B; Potential to send colder temperature wash water to the Desalter; Potential cold Desalter temperature; Potential inefficient chloride removal; Potential inability to remove chlorides from feed; Potential quality issues; Potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 40,Medium,0.427,4.0,"MOV-83653/67516; MOV-51737/94182; MOV- 9232/42 closed on kero inlet to tank TK-61869-11/20 and TK-85935-10 when in rundown | 4"" valve (V-17706) on TK-61869-20 left closed when need (or 4"" valves V-19842 for TK- 100-11 or V-79862 for TK-85935-10) | Manual valve(s) closed on outlet of Filters FLT-52650/ 23 | 16"" manual valve V-18778 inadvertently open on kero product manifold to feed tanks and outbound MOV open on Feed Tanks | 6"" manual valve open on low suction line from tank TK-61869-11/20 and TK-85935-10 when not intended | 4"" gate valve or 2"" ball closed on relief header to tanks TK-61869-11/20; TK-85935-10","Potential blocked outlet of thermal PSVs, release of kero to grade, potential personnel injury and environmental impact (The P&ID for TK-61869-11 has the 4"" gate valve shown as CSC; The P&ID for TK-85935-10 has an upstream 2"" ball valve that is not listed as CSO; The P&ID for TK-61869-20 does not have the 4"" gate valve listed as CSO) | Potential to send kero to feed tank, potential excess rerun and economic loss; Potential financial impact | Decreased flow of kero to storage, Blocked outlet of filters; Potential to overpressure filters with damage to filters, loss of containment of Kero, potential ignition and personnel impact | Blocked in PSV relief path for other tanks connected to the Kero header with potential overpressure of tank, loss of containment, personnel impact | Potential to draw water in kero product, off-spec product, potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 41,Medium,0.427,4.0,"MOV-77397/ 09 closed on outlet of tank TK- 100-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | 8"" valve closed on diesel rundown header from one or both splitter towers | MOV-72031 /9326 closed on outlet of tank TK-61869-12/21 to Transfer Pump P-1A/B when tank is in transfer to pipeline | Transfer Pump P-1A/B stops | 6"" manual valve open on low suction line from tank TK-61869-12/21 when not intended | 4"" gate valve or 2"" ball closed on relief header to tank TK-61869-12/21 | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | 4"" valve (V-70806) on TK-61869-12 left closed when TK-61869-21 is taken out of service for maintenance (or vice versa)","Blocked flow out of Transfer Pump P-1A/B, not expected to result in overfill of tank as movement tank is not receiving rundown, transfer shutdown, logistical impact to terminals; Potential financial impact | No flow of diesel to storage, not expected to impact tanks; Potential financial impact | Potential blocked outlet of thermal PSVs, release of diesel to grade, potential personnel injury and environmental impact | Blocked in PSV relief path for other tanks connected to the diesel header with potential overpressure of tank, loss of containment, personnel impact | Loss of diesel flow to exchanger EX-59524/204; Loss of pre- heat; Potential reduced ability to heat the feed in EX-59524/204; Potential for low feed temperature into Naphtha Stabilizer Column T-81314/201; Potential to swing T-81314/201; Potential offspec product/quality; Potential financial impact | Potential to draw water in diesel product, off-spec product, potential financial impact | Decreased flow of diesel from diesel tank TK-61869-12/21 to Transfer Pump P-1A/B, not expected to result in overfill of tank as movement tank is not receiving rundown, transfer shutdown, logistical impact to terminals; Potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 42,Medium,0.427,4.0,"MOV-85766/ 06/ 07 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline | Manual valve closed on AGO rundown header from one or both splitter towers | 16"" manual valve X-36770 inadvertently open on AGO product manifold to feed tanks | MOV-19780 /9327/ 9328 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline | 4"" gate valve or 2"" ball closed on relief header to AGO Tanks TK-24946-22/23 and TK-61869- 13 | Tube leak on AGO Exchanger HX-1/2 | 4"" valve (V-27673) on TK-61869-13 left closed when TK-24946-22 or TK-24946-23 is taken out of service for maintenance (or 4"" valves V- 9062 for TK-24946-22, V-40328 for TK-24946-23) | Transfer Pump P-3A/B stops | Blocked 14"" manual outlet valve of Transfer Pump P-3A/B","Blocked in PSV relief path for other tanks connected to the AGO header with potential overpressure of tank, loss of containment, personnel impact | Inability to heat the feed in EX-17647/205; Potential for low feed temperature into Naphtha Stabilizer Column T-81314/201; Potential reduced rates; Potential financial impact | Potential to send Feed into AGO Product, off-spec AGO; potential environmental permitting issue, environmental/financial impact (potential off-spec of a full AGO tank) | Potential blocked outlet of thermal PSVs, release of AGO to grade, potential personnel injury and environmental impact | Potential to send AGO to feed tank, potential excess rerun and economic loss; Potential financial impact | Decreased flow of AGO from AGO tank to Transfer Pump P-3A/B, not expected to result in overfill of tank as movement tank is not receiving rundown, transfer shutdown, logistical impact to terminals; Potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 43,Medium,0.427,4.0,"Condensate Feed Pumps PM-53688A/B/C rated for 89649 gpm, unit flows up to 92292 gpm | 4"" valve (X-75254) on TK-97415-1 left closed when TK-97415-2 or TK-97415-3 is taken out of service for maintenance (or 4"" valves X-27981 for TK-97415-2, X-50797 for TK-97415-3)","Blocked in PSV relief path for other tanks connected to the feed header with potential overpressure of tank, loss of containment, personnel impact | Potential excessive wear on Condensate Feed Pumps, potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 44,Medium,0.427,4.0,"4"" gate valve or 2"" ball closed on relief header to Rerun Tank Tk-61869-14","Potential blocked outlet of thermal PSVs, release of Feed to grade, potential personnel injury and environmental impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 5,Medium,0.427,1.0,LCV-62100 fails closed or upstream/downstream manual valve(s) inadvertently closed,Loss of light naphtha product to storage; Potential financial impact
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 6,Medium,0.427,4.0,Cooling during Heavy Naphtha Stripper T- 103 shutdown | FCV-13718 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed,"High level in Heavy Naphtha Stripper T-73992, potential to overfill T-73992 back to Combi Tower T-56446, leading to products Kero, Diesel, and AGO going off-spec, operability/product quality issues; Potential financial impact | Potential for vacuum as Heavy Naphtha Stripper T-73992 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 7,Medium,0.427,4.0,"FCV-19313 malfunctions closed or upstream/downstream manual valve(s) inadvertently closed or 8"" manual valve on kero product to rerun inadvertently closed | Cooling during Kero Stripper T-59524 shutdown | Inadvertent opening of spec valve to rerun | 8"" manual valve on bypass around EX-73992 inadvertently opened","Potential reduced ability to heat the feed in EX-73992; Potential for low feed temperature into Naphtha Stabilizer Column T-81314; Potential to swing T-81314; Potential offspec product/quality; Potential financial impact | Potential for vacuum as Kero Stripper T-59524 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact | Potential Combi Tower T-56446 flooding; leading to products Diesel and AGO going off-spec, operability/product quality issues; Potential financial impact | Inefficient operation - sending product to rerun; Potential financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 8,Medium,0.427,4.0,"Cooling during Diesel Stripper T-17647 shutdown | LCV-15841 fails open or bypass inadvertently open | Inadvertent opening of spec valve to rerun | 6"" manual bypass around EX-59524 inadvertently open","Potential reduced ability to heat the feed in EX-59524; Potential for low feed temperature into Naphtha Stabilizer Column T-81314; Potential to swing T-81314; Potential offspec product/quality; Potential financial impact | Inefficient operation - sending product to rerun; Potential financial impact | Potential for vacuum as Diesel Stripper T-17647 cools during shutdown, column damage, potential loss of containment, ignition, personnel impact | Potential to dry out Combi Tower T-56446 tray, leading to potential tray damage and financial impact"
No specific safeguards identified,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 9,Medium,0.427,2.0,Pressure control valve PCV-75912 fails open to flare | BDV-22923/13619 malfunctions open when not needed | TCV-25485 receives incorrect signal (opens inadvertently) | Loss of power | Tube leak/rupture on EX-53688 Gas-to-Gas Exchanger | Compressor CM-81314A/B designed for clean-gas service,"Inadvertently sending compressor suction gas to vent header; Potential unplanned flaring event with potential environmental impact | Potential compressor wear and tear due to dirty gas service, requiring excessive maintenance activities; Potential for environmental impacts and financial impacts due to increased flaring events | Compressor CM-81314A/B shuts down upon loss of power; Potential flaring event with potential environmental impact | Potential to overpressure and blow compressor seals; Potential to contaminate compressor lube oil; Potential compressor damage and financial impact | Unintended flaring event; Potential environmental impact | Inadvertently sending compressor discharge flow around Gas-to-Gas Exchanger EX-53688; Inability to heat suction gas with EX-53688; Potential to send lower temperature gas to compressor; Potential liquids in compressor resulting in potential compressor damage and financial impact"
PAHH- 13584/13626 high-high pressure alarm on CM- 101A/B discharge will shutdown compressor,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 9,High,N/A,4.0,FCV-63484 fails closed or upstream/downstream manual valve(s) inadvertently closed | Pressure control valve PCV-82542 fails closed | XV-68867/13627 on discharge from Recycle Compressor CM-81314A/B fails closed,"Blocked CM-81314A/B compressor discharge; Potential overpressure with loss of containment, potential ignition and personnel impact"
PAHH- 14009/14029 high-high pressure alarm will trip Hot Oil Heater F-81314,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 10,High,N/A,4.0,What if burner tube ruptures? | What if solids build up on tube internal surfaces? | What if fuel supply regulator fails open? | What if vessel temperature control loop fails open or closed? | What if hot oil flow through the tubes stops? | What if fuel supply pressure increases? | What if burner tube skin temperature increases? (Caused by flow restriction in tube),"Flow restriction in tubes; Potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Fails open - increased heating of hot oil; potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact | Potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Increased heating of hot oil; potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact"
PAHH- 23584/23626 high-high pressure alarm on CM- 201A/B discharge will shutdown compressor,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 27,High,N/A,4.0,XV-35717/23627 on discharge from Recycle Compressor CM-33219A/B fails closed | FCV-10463 fails closed or upstream/downstream manual valve(s) inadvertently closed | Pressure control valve PCV-15581 fails closed,"Blocked CM-33219A/B compressor discharge; Potential overpressure with loss of containment, potential ignition and personnel impact"
PAHH- 24009/24029 high-high pressure alarm will trip Hot Oil Heater F-33219,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,4.0,What if burner tube ruptures? | What if solids build up on tube internal surfaces? | What if fuel supply regulator fails open? | What if vessel temperature control loop fails open or closed? | What if hot oil flow through the tubes stops? | What if fuel supply pressure increases? | What if burner tube skin temperature increases? (Caused by flow restriction in tube),"Flow restriction in tubes; Potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Increased heating of hot oil; potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact and environmental impact | Fails open - increased heating of hot oil; potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact"
"PAHH-84364 (2oo3) high high pressure interlock on T-56446 will trip heater F- 101A/B, Ammonia Skid, and Hot Oil Pumps",PAHH-84364,Tier 1: Explicit Interlock/AF Tag,Node 5,High,N/A,4.0,PCV-10363B malfunctions open or bypass inadvertently open,"Inadvertently route some of the flow around the AF-56446 Condensers (most of the flow would still go through the Condensers); Potential to send hot vapors to Accumulator PV-56446 (would not exceed PV-56446 design temperature); RCG would shutdown on high suction pressure, and the hot vapors would be unable to flow to the Hot Oil Furnace F-81314; Potential to back-up pressure to the Combi Tower T-56446; Potential overpressure of T- 102 with loss of containment and personnel impact"
PALL-49198 low- low pressure alarm on Hot Oil Heater F-33219 discharge will trip F- 201,PALL-49198,Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,4.0,Multiple Hot Oil Circulation Pumps PM- 202A/B/C/D trip | Reduced heat transfer fluid flow | What if vessel temperature control loop fails open or closed?,"Reduced hot oil flow, potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact | Fails open - increased heating of hot oil; potential for overheating of Hot Oil Heater F-33219 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact"
PALL-71033 low- low pressure alarm on Hot Oil Heater F-81314 discharge will trip F- 101,PALL-71033,Tier 1: Explicit Interlock/AF Tag,Node 10,High,N/A,4.0,Multiple Hot Oil Circulation Pumps PM- 102A/B/C/D trip | What if vessel temperature control loop fails open or closed? | Reduced heat transfer fluid flow,"Reduced hot oil flow, potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact | Fails open - increased heating of hot oil; potential for overheating of Hot Oil Heater F-81314 tubes, tube failure, loss of containment, ignition, heater damage, potential personnel impact"
PIC-21203/13611 low suction pressure shutdown will shutdown CM- 101A/CM-81314B compressors,PIC-21203 | CM-81314B,Tier 1: Explicit Interlock/AF Tag,Node 9,High,N/A,1.0,PCV-10363A fails closed or upstream/downstream manual valve(s) inadvertently closed,Loss of suction to Recycle Gas Compressor; Potential compressor rod load damage with potential financial impact
PIC-73370/23611 low suction pressure shutdown will shutdown CM- 201A/CM-33219B compressors,PIC-73370 | CM-33219B,Tier 1: Explicit Interlock/AF Tag,Node 27,High,N/A,1.0,PCV-36763A fails closed or upstream/downstream manual valve(s) inadvertently closed,Loss of suction to Recycle Gas Compressor; Potential compressor rod load damage with potential financial impact
Pressure alarm high-high PAHH- 14102/14122 on individual cells trips Hot Oil Heater F-81314,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 10,High,N/A,3.0,What if air damper fails closed?,"Mechanical failure (all dampers in manual) - pressure swings on ID fan, air imbalance, potential for high Hot Oil Heater F- 101 duct temperatures; Potential heater damage and downtime"
Pressure alarm high-high PAHH- 14137 at common duct trips Hot Oil Heater F- 101,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 10,High,N/A,3.0,What if air damper fails closed?,"Mechanical failure (all dampers in manual) - pressure swings on ID fan, air imbalance, potential for high Hot Oil Heater F- 101 duct temperatures; Potential heater damage and downtime"
Pressure alarm high-high PAHH- 24102/24122 on individual cells trips Hot Oil Heater F-33219,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,3.0,What if air damper fails closed?,"Mechanical failure (all dampers in manual) - pressure swings on ID fan, air imbalance, potential for high Hot Oil Heater F- 301 duct temperatures; Potential heater damage and downtime"
Pressure alarm high-high PAHH- 24137 at common duct trips Hot Oil Heater F- 201,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 28,High,N/A,3.0,What if air damper fails closed?,"Mechanical failure (all dampers in manual) - pressure swings on ID fan, air imbalance, potential for high Hot Oil Heater F- 301 duct temperatures; Potential heater damage and downtime"
Preventative Maintenance (PM) inspections,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 35,Medium,0.365,3.0,High amount of sodium bi sulfide in water,"Potential to corrode piping and vessels, potential release of condensate to atmosphere; Potential ignition and personnel impact"
Pump P-2A/B permissives prevent the pumps from starting if MOV- 9414/9415 is closed,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 38,High,N/A,4.0,"More recirculation outflow than inflow (operator error) | MOV-94883/ 9415 closed or MOV- 9412/9410 closed on suction to Transfer Pump P- 2A/B or strainer plugs | Blocked outlet of Transfer Pump P-2A/B or 38095"" valve closed on product manifold out of facility | High naphtha flow from Transfer Pumps P-2A/B (3100 vs 18888 gpm design vs required) out to product terminal","Decreased flow of naphtha from naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, not expected to overpressure downstream piping, loss of flow to Light Naphtha P-2A/B, potential deadhead and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Increased flow of naphtha out of naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, low level and loss of flow to Light Naphtha pump P-2A/B, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Decreased flow of naphtha from naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, loss of flow to Light Naphtha P- 2A/B, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact"
Pump P-2A/B permissives prevent the pumps from starting if MOV- 9414/9415 is closed,General SIF (No Tag),Tier 1: Explicit Interlock/AF Tag,Node 39,High,N/A,4.0,"Blocked outlet of Transfer Pump P-2A/B or 38095"" valve closed on product manifold out of facility | MOV-94883/ 9415 Blocked inlet valve to Transfer Pump P-2A/B or strainer plugs","Decreased flow of naphtha from naphtha tank TK-24946- 24/25 to Transfer Pump P-2A/B, loss of flow to Light Naphtha P- 2A/B, potential cavitation and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact | Decreased flow of naphtha from naphtha tank TK-24946-25 and TK-61869-15 to Transfer Pump P-2A/B, loss of flow to Heavy Naphtha P-2A/B, potential deadhead and seal leak, release of naphtha to atmosphere, potential ignition and personnel impact"
Pump P-3A/B permissive prevents pump from starting unless MOV-19780 /9327/ 9328 are open,MOV-19780,Tier 1: Explicit Interlock/AF Tag,Node 42,High,N/A,4.0,MOV-19780 /9327/ 9328 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline,"Decreased flow of AGO from AGO Tanks TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B, loss of flow to AGO P- 3A/B, potential cavitation and seal leak, release of AGO to grade, potential ignition and personnel impact"
Pump P-3A/B permissive prevents pump from starting unless MOV-85766/6/7 are open,MOV-85766,Tier 1: Explicit Interlock/AF Tag,Node 42,High,N/A,4.0,"MOV-85766/ 06/ 07 closed on outlet of tank TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B when tank is in transfer to pipeline | Blocked 14"" manual outlet valve of Transfer Pump P-3A/B","Blocked flow from Transfer Pump P-3A/B, potential deadhead and seal leak, release of AGO to grade, potential ignition and personnel impact | Decreased flow of AGO from AGO Tanks TK-24946-22/23 and TK-61869-13 to Transfer Pump P-3A/B, loss of flow to AGO P- 3A/B, potential cavitation and seal leak, release of AGO to grade, potential ignition and personnel impact"
Pump is in remote location and inside tank berm and separate containment,General SIF (No Tag),Tier 2: Semantic NLP Match,Node 40,Medium,0.416,4.0,"MOV-66277/ 22/ 24 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | 12"" manual valve blocked on inlet valve to Transfer Pump P-1A/B or strainer plugs | MOV-98319/06/07 closed on outlet of tank TK-61869-11/20 and TK-85935-10 to Transfer Pump P-1A/B when tank is in transfer to pipeline | MOV-50697 fails closed when not performing diesel flush on outlet of pump P-1A/B | MOV-55290 fails open on pump P-1A/B bypass | Blocked 8"" manual outlet valve of Transfer Pump P-1A/B | MOV-99758 fails closed or 38095"" valve closed on product manifold out of facility","No flow of kero from kero tanks TK-61869-11/20 and 85935-10 to Transfer Pump P-1A/B, loss of flow to kero P-1A/B, potential cavitation and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | Loss of flow from kero P-1A/B, potential deadhead and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact | Increased flow of kero recycling around Transfer Pump P- 1A/B, decreased flow to terminal, delay in transfer, logistical impact to terminals; Potential to increase temperature on pumps P-1A/B with potential pump damage, potential seal failure, release, ignition and personnel impact | No flow of kero from kero tanks TK-61869-11/20 and 85935- 10 to Transfer Pump P-1A/B, loss of flow to kero P-1A/B, potential cavitation and seal leak, release of kero to grade, potential seal fire, personnel injury, environmental impact"
